Proto_Germanic_Ancestor,Meaning,Target_Old_English,Modern_English,Modern_German,Modern_Dutch,Modern_Swedish
hwatjaną,to sharpen; whet,hwettan,whet,wetzen,wetten,vättja
habą,sea,hæf,haaf,Haff,haf,hav
telguz,branch; twig,telga,tillow,Zelge,telg,-
duniz,sound; noise,dyne,dun,Ton,deun,dön
uzlaubijaną,To give permission to; allow; permit,ālīefan,-,erlauben,oorloven,-
mēdwō,meadow,mǣd,mead,Matte,made,-
skardą,notch; nick,sċeard,shard,Scharte,schaarde,-
teugą,device for pulling; handle; lever; gear,*tēog,toy,Zeug,tuig,tyg
þiubiþō,the state or condition of a thief; thiefdom,þīefþ,theft,Diebde,diefte,tjuft
ainagaz,only; sole; singular; unique,*āneġ,any,einig,enig,enig
hrinþaz,"A horned beast, as in a neat or ox",hrīþ,rother,Rind,rind,-
hrunþaz,"A horned beast, as in a neat or ox (alternative form of *hrinþaz)",hrūþ,rother,-,rund,-
hnītaną,to push; knock; butt against,hnītan,note,nieten,nijten,nita
plakjō,"spot, stain",*plæċċ,patch,-,plek,-
sīką,trickling water; a dribble,sīċ,sitch,-,-,sik
unwerþaz,unworthy,unweorþ,unworth,unwert,onwaard,-
hnukāną,"to be bent, flex, curve, draw up, shrink, wrinkle, become pinched",ġehnycned,nookie,-,neuken,nycka
dreuzagaz,bloody; gory,drēoriġ,dreary,traurig,treurig,-
raikijaną,to stretch out; reach,rǣċan,reach,reichen,reiken,-
edaraz,enclosure; shelter,edor,edder,-,-,jäder
klukkwōną,to cluck,cloccian,clock,klucken,klokken,klucka
hwaitijaz,wheat,hwǣte,wheat,Weizen,weit,vete
alþizô,comparative degree of *aldaz,eldra,elder,älter,-,äldre
hakkōną,to hack; chop,*haccian,hack,hacken,hakken,hacka
hakjaną,To peck; chip,hæċċan,hatch,hecken,-,häcka
þweraną,"to swirl, turn, stir",þweran,-,zweren,-,tvära
hamô,"shape, physical form",hama,hame,Hame,haam,hamm
jekulaz,icicle,ġiċel,ickle,-,jeukel,jökel
kaupijaną,to buy; trade,ċīepan,cheap,käufen,kopen,köpa
sūpaną,to drink; sip; slurp; gulp,sūpan,sup,saufen,zuipen,supa
angijō,a low lying meadow in a valley or near a river,*eng,ing,-,eng,äng
snarhǭ,loop; sling; noose,sneare,snare,Schnarre,snaar,snara
jugunþiz,the state of being young; youth,ġeoguþ,youth,Jugend,jeugd,-
hagô,"enclosure, yard",haga,haw,Hag,haag,hage
glīsōną,"to shine, glisten, glitter",glīsian,-,-,glijssen,glisa
angulō,"a hook, fishhook",angel,angle,Angel,angel,-
baitō,that which is or can be bitten; food; bait,bāt,bait,Beiße,beits,bet
snuttaz,"alternative form of *snuttuz: snot, mucus",ġesnot,snot,-,snot,-
snuttuz,Nasal mucus; snot,*snott,snot,Schnodder,snot,-
grēdagaz,hungry,grǣdiġ,greedy,-,graag,grådig
þurisaz,giant; demon; monster,þyrs,thurse,Turse,-,tuss
stukkaz,stick,stocc,stock,Stock,stok,stock
feturaz,fetter,feter,fetter,Fesser,veter,fjätter
frekaz,greedy,frec,-,frech,vrek,fräck
skōgô,"thicket, small wood",sċeaga,shaw,Schache,-,skog
langōną,to desire; long for,langian,long,gelangen,langen,långa
wanjaną,"to accustom, to make used to",wenian,wean,entwöhnen,wennen,vänja
managafalþaz,"various, diverse, manifold",maniġfeald,manifold,mannigfaltig,menigvoud,mångfald
winidaz,a member of the “Baltic Veneti” (tribe of unknown affiliation),Winedas,Wend,Wende,-,-
rūnōstabaz,a letter of the runic alphabet,rūnstæf,runestaff,-,-,runstav
mugjō,"little fly, midge, mosquito",myċġ,midge,Mücke,mug,mygga
kuningadōmaz,"realm, kingdom",cyningdōm,kingdom,Königtum,koningdom,kungadöme
lamaz,lame,lama,lyem,lahm,lam,lam
hrefaz,body,hrif,riff,-,rif,-
skutą,shot,sċot,shot,Schoss,schot,skott
spaluz,"rod, pole, spike",*spalu,spale,Spale,-,spalu
wīhijaną,"to hallow, to consecrate",fulwian,full,weihen,wijden,viga
aldrą,life,ealdor,-,Alter,ouder,ålder
swerbaną,to rub; wipe; polish,sweorfan,swerve,schwirbeln,zwerven,svärva
warnōną,to be careful,warnian,warn,warnen,waarnen,varna
siglijaną,to sail,siġlan,sail,-,-,segla
tawwą,tool; apparatus; gadget,*tawa,tow,Tau,touw,to
leukaną,"to pull, pluck, weed",lūcan,louk,abluchsen,-,-
nēhwiz,"comparative degree of *nēhw (“near”): closer, nearer",nēar,near,näher,naar,när
undurniz,an intermediate or intervening period; mean time; interim; interval,undern,undern,-,onder,undarn
bellaną,"to roar, bark, bellow",bellan,bell,bellen,bellen,-
hwisprōną,"to whistle, hiss, whisper",hwisprian,whisper,wispern,wisperen,-
kitilōną,to tickle,citelian,kittle,killern,kietelen,kittla
stiurijaną,"to direct, steer",stīeran,steer,steuern,sturen,styra
swalwǭ,swallow (bird),swealwe,swallow,Schwalbe,zwaluw,svala
hrīsą,twig; sprig,hrīs,rise,Reis,rijs,ris
wardaz,turned,-weard,-ward,-,-,-vart
wardaz,guard,weard,ward,Wart,-,-
þarbō,need,þearf,-,Bedarf,-,tarv
alinō,elbow,eln,ell,Elle,el,aln
raubaz,"rape, pillage, robbery",rēaf,reif,Raub,roof,rov
hungrugaz,hungry,hungreġ,hungry,hungrig,hongerig,hungrig
miuzijō,"bog, swamp",*mīesiġ,mizzy,-,-,myr
raubōną,"to rob, steal, plunder",rēafian,reave,rauben,roven,rova
kattuz,cat,catt,cat,-,-,katt
skairiz,pure; sheer,sċǣre,sheer,-,-,skär
wēgaz,wave,wǣġ,waw,Woge,waag,våg
miurijǭ,ant,*mīere,mire,-,mier,myra
skankô,that which is bent,sċanca,shank,-,-,skank
skarō,a portion; share,sċaru,share,Schar,schare,skara
harmaz,harm; shame; pain; injury,hearm,harm,Harm,harm,harm
skaljō,shell; husk; rind; peel,sċiell,shell,Schellfisch,schil,-
þeutǭ,"That which causes a whirring, whistling, roaring, or rushing sound",þēote,-,Tüte,tuit,tut
hindiz,"doe, hind",hind,hind,Hinde,hinde,hind
fahtiz,wool; fleece,feht,-,-,vacht,fätt
smultą,"fat, lard",smolt,schmaltz,Schmalz,smout,-
tugiz,"a drawing, tug, pull",tyġe,-,Zoch,teug,tåg
lugiz,"lie, falsehood",lyġe,lie,Lug,-,-
drankiz,drink; dose; potion,drenċ,drench,Trank,drank,-
drangijaz,stake; staff; crutch; support,dreng,dreng,-,-,dräng
þiljǭ,board; plank,þille,thill,Diele,deel,tilja
wōkraz,gain; increase; yield,wōcor,oker,Wucher,woeker,ocker
slagjǭ,sledge; mallet; hammer,sleċġ,sledge,-,slegge,slägga
hungrijaną,"to be hungry, starve",hyngran,hunger,-,hongeren,-
wristuz,joint (wrist or ankle),wrist,wrist,Rist,-,vrist
leubalīkaz,lovely,lēoflīc,liefly,lieblich,lieflijk,ljuvlig
laiwarikǭ,lark,lāwerce,lark,Lerche,leeuwerik,lärka
maisǭ,"titmouse, chickadee",māse,titmouse,Meise,mees,mes
nutjōną,to use; make use of; employ,nyttian,-,nutzen,-,nyttja
grindiz,fence,grindel,-,Grindel,grendel,grind
kuntǭ,female pudenda; vulva; sheath,*cunte,cunt,Kunte,kont,kunta
walmiz,A welling (up); seething; roiling,wielm,walm,Qualm,walm,-
swibāną,To move; sway,swefian,-,schweben,zweven,sväva
laizō,teaching; lore; doctrine,lār,lore,Lehre,leer,lära
spilþijaną,"to spoil, ruin",spillan,spill,kostspielig,spillen,spilla
swindaną,To dwindle,swindan,-,schwinden,zwinden,svinna
flutô,A float; flotation device,flota,float,Flosse,-,flotte
hlankiz,ring; chainlink,hlenċe,link,-,-,länk
staþulaz,"position, standing",staþul,staddle,Stadel,staal,-
skēkaz,robbery,*sċǣc,-,Schächer,schaak,-
spitō,rod; spike; skewer,spitu,spit,-,-,speta
teudrą,"that which is tugged or pulled on, tether",*tēoder,tether,Zieter,tuier,tjuder
knukilaz,"knuckle, small bone",cnucel,knuckle,Knöchel,knokkel,-
lakaną,linen; cloth; sheet,*lacen,lake,Laken,laken,lakan
lekaną,To leak; seep; drip,*lecan,leak,lechen,lekken,läka
gnattaz,a bite or scratch,gnætt,gnat,Gnatz,-,knott
bēlą,fire,bǣl,bale,-,-,bål
ganzô,gander,ganra,gander,Ganter,gander,gasse
tugô,he who draws; leader,toga,toga,Zog,hertog,tig
alþistaz,superlative degree of *aldaz,ieldest,eldest,ältesten,-,äldst
hawją,hay,hīeġ,hay,Heu,hooi,hö
stikiz,"a sticking, prick",stiċe,stitch,Stich,steek,-
akiz,"ache, pain",eċe,ache,-,aak,-
talgaz,tallow,tælg,tallow,Talg,talg,talg
ganesaną,to heal,ġenesan,-,genesen,genezen,-
dribą,a driving,drif,-,Antrieb,-,drev
grasōną,to graze (feed on grass),grasian,graze,grasen,grazen,-
bilją,a cutting implement; blade; axe; sword,bill,bill,Bille,bil,bila
twitwizōną,To twitter; chirp,*twiterian,twitter,zwitzern,twitteren,kvittra
grōbō,"hole, ditch, pit",*grōf,groove,Grube,groeve,-
glutōną,to peer,*glotian,gloat,glotzen,-,glutta
swainaz,relative; kinsman,swān,swain,Schwein,-,sven
nabalô,navel,nafola,navel,Nabel,navel,navel
skeuhaz,frightened,sċēoh,shy,scheu,scheu,skygg
waltijaną,To roll; cause to roll,wæltan,welt,wälzen,welteren,välta
waizdaz,woad,wād,woad,Waid,wede,vejde
midjasumaraz,midsummer,midsumor,midsummer,Mittsommer,midzomer,midsommar
helpō,"help, aid, assistance",help,help,Hilfe,help,hjälp
batizōną,to make better; improve,beterian,better,bessern,beteren,bättra
nēmō,"taking, acceptance",nǣm,naam,Nahme,-,-
daudijaną,"to make dead, kill",dīedan,-,töten,doden,döda
ungalīkaz,"different, unlike",unġelīċ,unlike,ungleich,ongelijk,olik
kultaz,"A thick, plump mass or object; lump",colt,colt,-,-,kult
pundą,pound (weight),pund,pound,Pfund,pond,pund
hauhahertaz,"proud, haughty",hēahheort,-,hochherzig,hooghartig,-
latjaną,"to make slow, delay, hinder",lettan,let,letzen,letten,lättjas
hauhijaną,"to make high; to raise, exalt",hēan,high,höhen,hogen,-
gulþijaną,"to gild, cover with gold",*gyldan,gild,-,vergulden,-
fulkijaną,to assemble people,fylċan,filch,-,-,fylka
snūtaz,snout,*snūt,snout,Schnute,snuit,-
hulistrą,covering; hull; sheath,heolstor,hulster,Holster,holster,hölster
galaubô,belief,ġeleafa,-,Glaube,geloof,-
swōtijaną,to sweeten,swētan,sweet,süßen,zoeten,söta
slinkaną,to creep; crawl; slink,slincan,slink,-,slinken,slinka
dwalōną,to withhold; hesitate; delay,dwalian,dwale,-,dwalen,-
brōdijaną,To keep warm; brood,brēdan,breed,brüten,broeden,-
brestuz,break; fracture,berst,burst,Breste,barst,brist
walkōną,To roll about; wallow,wealcian,walk,walken,walken,valka
tugilaz,rein (on a horse),tyġel,-,Zügel,teugel,tygel
laubą,leaf,lēaf,leaf,Laub,loof,löv
gagulaz,sweetwillow; gale; myrtle,gagel,gale,Gagel,gagel,-
skraudō,"cut, crack",sċrēad,shred,Schrot,schroot,-
grindō,gravel; sand; pebbles,grinde,-,Grind,grind,-
hiurijaz,trusted; familiar,hēore,here,geheuer,guur,ohyra
wardāną,"to guard, protect, watch over",weardian,ward,warten,warden,vårda
snīkaną,to crawl,snīcan,sneak,-,-,snika
Sigifriþuz,a male given name,Sigefriþ,-,Siegfried,-,Sigfrid
swaipaną,to sweep,swāpan,swoop,schweifen,-,svepa
pikkōną,"to pick, peck, prick",*piccian,pick,picken,pikken,picka
knuttô,a knot,cnotta,knot,Knotze,knot,knut
heltą,handle; hilt,hilt,hilt,-,-,hjalt
wrōtaną,"to root, to dig with the nose",wrōtan,root,-,wroeten,-
frafaraną,to go away,forfaran,forfare,verfahren,vervaren,-
laþô,shoot,*laþa,lath,Laden,laede,-
franemaną,"to take away, plunder",forniman,-,vernehmen,vernemen,-
bisatjaną,"to occupy, fill",besettan,beset,besetzen,bezetten,besätta
uzgebaną,"to give up, give back, repay",āġiefan,agive,ergeben,-,-
abagebaną,"to give up, give away, separate from",ofġifan,-,abgeben,afgeven,-
frijōndlīkaz,friendlike; friendly,frēondlīċ,friendly,freundlich,vriendelijk,fryntlig
agjōną,to harrow,eċġian,edge,-,eggen,-
markōną,to mark,mearcian,mark,merken,-,-
biþankijaną,"to think up, bethink",beþenċan,bethink,bedenken,bedenken,-
bisitjaną,"to sit among, sit near",besittan,besit,besitzen,bezitten,besitta
hrīdrǭ,sieve,hridder,ridder,Reiter,-,-
spīrǭ,peak; summit; top,spīr,spire,Spier,spier,spira
Bernuharduz,a male given name,Beornheard,Bernard,Bernard,Bernaart,-
Balþawiniz,a male given name,Bealdwine,Baldwin,Balduin,Boudewijn,Baldvin
urtiz,plant,*ort,orchard,-,-,ört
duttaz,wisp; tuft of grass or grain,dott,dot,-,dodde,tutte
mistilaz,mistletoe,mistel,mistle,Mistel,mistel,mistel
andawlitją,"appearance, form",andwlita,-,Antlitz,-,anlete
fristiz,an appointed time; date,frist,frist,Frist,-,-
kweduz,resin,cwidu,cud,Kitt,-,kåda
wīkō,"bay, inlet, fjord",wīc,wick,-,wijk,vik
lētaz,freeman,lǣt,-,Lite,laat,-
wangaz,"field, meadow, pasture, plain",wang,wong,-wang(en),-,vång
dūnaz,"an accumulation, pile, heap",dūn,dune,Düne,duin,dyn
durą,"big door, gate",dor,door,Tor,-,-
pāwô,"peacock, peafowl",pāwa,pea,Pfau,pauw,påfågel
frisaz,curled; curly,frīs,frizz,-,friseren,-
rakkô,cord; strap,racca,rackie,Rache,rekel,-
waiþō,"a hunt, pursuit, chase",wāþ,wathe,Weide,weide,-
wunāną,"To be satisfied, be pleased with, enjoy",wunian,won,wohnen,wonen,ana
waiwô,"woe, grief, misery",wēa,-,Weh,wee,-
turdą,manure,tord,turd,Zort,tort,-
natǭ,nettle,netele,nettle,Nessel,netel,nässla
gazdaz,goad; spike,ġeard,yard,Gart,gard,gadd
skipārijaz,one who travels by ship; sailor,sċipere,skipper,Schipper,schipper,skeppare
dūbaną,"to dive, to sink",dūfan,dive,-,bedoven,-
steupabarną,stepchild,stēopbearn,stepbarn,-,-,styvbarn
alizō,alder,alor,alder,Erle,els,al
haspijǭ,clasp; hasp,hæpse,hasp,Haspe,hasp,hasp
hittijaną,to encounter; meet with; make contact; hit,hittan,hit,-,hitten,hitta
drōhsnō,"dregs, sediment",drōsna,-,Drusen,droesem,-
drōhs,"dregs, sediment",drōs,dross,-,droes,-
barmaz,lap,bearm,barm,Barm,-,barm
regnadrupô,raindrop,reġndropa,raindrop,Regentropfen,regendrop,regndroppe
maisō,fleece satchel or backpack,*mǣse,mease,Meise,mees,-
nasją,foothill,ness,ness,-,nes,näs
snauþuz,"bald, shaved, naked",be-snyþþan,-,schnöde,snood,snöd
spenô,nipple,*spana,spean,-,speen,spene
linþaz,bendsome; flexible,līþe,lithe,lind,lind,-
raubijaną,"to rob, steal, plunder",*rīefan,bereave,-,-,röva
grabą,"that which is dug (ditch, trench, hole, etc.)",græf,grave,Grab,graf,grav
kaliz,"cold, coldness",ċiele,chill,-,kil,-
hnawwaz,tight; narrow,hnēaw,niggard,genau,nauw,njugg
gasinþô,"companion, comrade",ġesīþ,gesith,Gesind,gezinde,-
kurbiz,a cut,cyrf,kerf,-,-,korv
hrugjabainą,backbone,hryċġbān,ridgebone,Rückenbein,ruggebeen,ryggben
garihtijaną,to set right; correct,ġerihtan,aright,-,gerechten,-
prikjaną,to stick; prick,priċċan,pritch,pricken,prikken,pricka
manōną,to bring to mind; remind,manian,-,mahnen,manen,-
mut-,moth,moþþe,moth,Motte,mot,-
regnōną,to rain,reġnian,rain,regnen,regenen,regna
-inassuz,-ness,-nes,-ness,-nis,-nis,-
werduz,host,weard,ward,Wirt,waard,värd
hamjaną,To press; pinch,*hemman,hem,hemmen,-,hämma
spurjaną,"to feel, touch",spyrian,speer,spüren,speuren,spörja
andaswarjaną,to answer,andswerian,answer,-,-,ansvara
andawurdijaną,to answer,andwirdan,-,antworten,antwoorden,-
bigrabaną,"to bury, inter, engrave",begrafan,begrave,begraben,begraven,begrava
fiskārijaz,"fisher, fisherman",fisċere,fisher,Fischer,visser,fiskare
biskīnaną,to shine upon or about,besċīnan,beshine,bescheinen,beschijnen,-
skankijaną,"to skew, tilt, tip",sċenċan,shink,schenken,schenken,skänka
biwindaną,"to wind around or about, enwrap",bewindan,bewind,bewinden,bewinden,-
fralētaną,"to leave, dismiss",forlǣtan,forlet,verlassen,verlaten,förlåta
tiunijaną,"to torture, torment, vex",tēonian,teen,-,-,tyna
teuną,destruction; ruin; damage; lack,tēon,teen,-,-,tyn
spurô,spur,spura,spur,Sporn,spoor,sporre
spannaną,"to stretch, span",spannan,span,spannen,spannen,-
skabbaz,scab,sċeabb,scab,-,-,skabb
stinganą,to stick out; protrude,stingan,sting,-,-,stinga
lakjaną,to make wet; moisten,leċċan,leach,lecken,lekken,-
fiþriją,feathers (collectively); plumage,fiþre,feathers,Gefieder,gevederte,-
dagawerką,a day's work,dæġweorc,daywork,Tagewerk,dagwerk,dagsverke
blōþaraudaz,blood-red,blōdrēad,blood-red,blutrot,bloedrood,blodröd
grasagrōniz,grass-green,græsgrēne,grass-green,grasgrün,grasgroen,gräsgrön
halbadaudaz,halfdead,healfdēad,halfdead,halbtot,halfdood,halvdöd
singrōniz,evergreen,singrēne,-,singrün,zenegroen,sinngrön
snaiwahwītaz,snow-white,snāwhwīt,snow-white,schneeweiß,sneeuwwit,-
mōdērlausaz,motherless; without a mother.,mōdorlēas,motherless,mutterlos,moederloos,moderlös
fermō,"means of living, subsistence",feorm,farm,Farm,farm,farm
fun-,"Stem meaning moisture, mould, mildew",fyne,fen,-,vuns,-
harmô,"ermine, weasel",hearma,ermine,Harm,herm,hermelin
elmaz,elm tree,elm,elm,Ulme,olm,alm
meduwurtiz,"meadwort, meadowsweet",medewyrt,meadwort,-,-,mjödört
erþahūsą,"underground dwelling, cave",eorþhūs,earthhouse,Erdhaus,-,-
ginōną,to gape,ġinian,yawn,gähnen,-,-
natjaną,to make wet; wetten,*nettan,netting,netzen,netten,-
skammaz,short; blunt; stunted,*sċamm,scant,-,-,skam
ēþmaz,"breath, breathing",ǣþm,-,Atem,adem,-
biraubōną,"to bereave, spoil, take away",berēafian,bereave,berauben,beroven,-
twifaldaz,twofold; double,twifeald,twifold,zwiefalt,tweevoud,tvåfaldig
fadurlīkaz,fatherly; fatherlike,fæderlīċ,fatherly,väterlich,vaderlijk,faderlig
triwwijaną,to make faithful,trēowan,trow,trauen,trouwen,trygga
werþalīkaz,Of great worth; valuable; important,weorþlīċ,worthly,-,waardelijk,-
hlidą,"lid, cover",hlid,lid,Lid,lid,led
marikiz,a type of waterplant,meriċi,woodmarch,Merk,-,-
hūwilōną,to howl; scream,*hūlian,howl,heulen,huilen,hyla
þehsulǭ,axe,*þeoxle,-,Dechsel,dissel,tängsla
raubārijaz,"robber, spoiler, reaver",rēafere,reaver,Räuber,-,-
salhô,"willow, sallow",sealh,sallow,Salweide,-,sälg
skauba-,sheaf; bundle,sċēaf,sheaf,Schof,schoof,-
flekka-,spot; mark; blemish,*flecc,fleck,Fleck,vlek,fläck
sōtą,soot,sōt,soot,-,zoet,sot
stukōną,"to push, to thrust",*stocian,stoke,stochen,stoken,-
wiþiwindǭ,"bindweed (Convolvulus arvensis), ivy",wiþewinde,withwind,-,wedewinde,-
ibahs,ivy,īfiġ,ivy,Efeu,-,-
talaz,"pliable, bendsome",*tæl,tall,gezahl,-,-
wallijǭ,well,wælle,well,Welle,wel,väl
trugaz,trough,trog,trough,Trog,trog,tråg
habīniz,"the state of holding, having",hæfen,have,-,-,hamn
skelhaz,"squint-eyed, sloping, awry",sċeolh,askile,scheel,scheel,-
wagōną,"to move, stir, sway",wagian,waw,wagen,wagen,våga
gildiz,"valuable, wholesome, precious",*ġilde,yauld,-,-,gild
niþanē,"from below, from beneath",neoþan,neath,nieden,-,nedan
azaniz,summer,*iern,-,Ernte,-,(archaic or dialectal) and
banstiz,"barn, storehouse",bōsig,-,Banse,banst,-
tōgô,twig; branch,*tagga,tag,Zacke,tak,tagg
lukkaz,lock (of hair),locc,lock,Locke,lok,lock
hwarbōną,to turn,hwearfian,wharve,-,-,varva
krumpaz,"bent, crooked, curved",crump,crump,krumm,krom,-
waisǭ,"mire, muck, slime",wāse,ooze,-,-,vesa
biganganą,to go about,begangan,-,begangen,begangenis,-
swarduz,"rind, tough skin",sweard,sward,Schwarte,zwoerd,svål
preunaz,knitting needle,prēon,preen,Pfriem,priem,-
laskwaz,"sluggish, dull, lazy, idle",*lesċ,lush,lasch,las,-
þullaz,wooden peg or pole,þol,thole,Dolle,dol,tull
spraidijaną,to spread,sprǣdan,spread,spreiten,spreiden,sprida
bauknōną,to signal,bēacnian,beckon,-,bakenen,-
aizāną,to honour,ārian,-,ehren,eren,-
stamniz,"stem, tree stalk",stemn,stem,Stamm,stam,-
-itją,"Suffix denoting the action of verbs ending in *-itjaną, used similarly as Modern English -age, -ation, -isation, -ism.",-ett,-,-ze,ge- -te,-
-lōną,frequentative verbal suffix; indicating repetition,-lian,-le,-eln,-elen,-la
bibindaną,To bind in or about,bebindan,-,bebinden,bebinden,-
waibijaną,"to wind (around), wrap",wǣfan,weave,weibeln,wuiven,-
wandilaz,wanderer,Wendel,Vandal,-,-,Vendel
raidijaną,to arrange,rǣdan,read,-,reden,reda
rehtą,"right, privilege",riht,right,recht,recht,-
flutą,A body or mass of water.,flot,float,Fluss,vlot,flott
klappōną,"To clap, strike or pound (especially two things against each other)",*clappian,clap,klappen,klappen,klappa
tugōną,"to pull, tow",togian,tow,zogen,togen,-
daniskaz,Danish (of the Danes),Denisċ,Dench,dänisch,Deens,dansk
rīþaz,river,rīþ,rith,Riede,riet,-
niwizô,comparative degree of *niwjaz,nīwra,newer,neuer,nieuwere,nyare
handuwerką,handwork; manual labour,handweorc,handwork,Handwerk,handwerk,hantverk
gripiz,"A grip, grabbing or grasp.",gripe,grip,Griff,grip,-
gaumō,heed; attention,ġīeme,gaum,Gaume,goom,-
madarǭ,madder (Rubia tinctorum),mædere,madder,-,-,madra
blandijaną,to blind,blendan,-,blenden,blenden,-
mōdagaz,brave; courageous,mōdiġ,moody,mutig,moedig,modig
klawjaną,to claw or scratch,clawan,claw,klauen,klooien,klå
hainō,whetstone,hān,hone,-,heen,hein
furþą,forward,forþ,forth,fort,voort,fort
ahanō,"chaff, awns",agnu,awn,Agen,-,agn
rōkijaną,"to care, care for, take care of",rēċan,retch,geruhen,roeken,-
angwijaną,to make narrow,engan,-,engen,engen,-
lustusamaz,pleasing; pleasant,*lustsum,lustsome,lustsam,-,-
fradrībaną,"to drive away, drive out, expel",fordrīfan,fordrive,vertreiben,verdrijven,fördriva
gunþifanô,war banner,gūþfana,gonfanon,-,gonfanon,-
arfô,chickweed,earfan,-,-,erf,arv
aþulijaz,noble,æþele,athel,edel,edel,ädel
auþijaz,"void, empty, barren, deserted, waste",īeþe,-,öde,-,öde
skapą,shape,sceap,shape,Schapp,schap,skåp
rudą,"clearing, glade",rodu,royd,-,-,rud
smeltaz,smelt (fish),smelt,smelt,-,-,smält
haisaz,hoarse,hās,hoarse,heiser,hees,hes
kutą,"tent, stall, shed, hut",cot,cot,-,kot,-
strīdaz,"battle, fight",strīþ,-,Streit,strijd,strid
walką,"tossing, turning",*wealc,walk,Walk,-,valk
gudahūsą,"temple, god-house",*godhūs,God's house,Gotteshaus,godshuis,-
skipōną,"to arrange, set up",sċipian,ship,schiffen,schepen,skeppa
garihtiją,"justness, justice, fairness, equity",ġerihte,right,Gericht,gerecht,-
fedurþungaz,"A fourth part, a quarter",fēorþung,farthing,Vierdung,vierding,-
laikaz,dance,lāc,lake,Laich,-,lek
suppǭ,"soup, broth",soppe,sop,Supfe,soep,soppa
lindīnaz,"Made of lind wood, linden.",linden,linden,linden,-,-
wundrōną,to be amazed,wundrian,wonder,wundern,wonderen,undra
blōstmô,flower,blōstma,blossom,-,bloesem,blomster
dreupaną,to droop; drip,drēopan,dreep,triefen,druipen,drypa
draupijaną,To cause to drip,drīepan,drip,-,-,dröpa
þrawō,"a longing, suffering",þrēa,throw,-,-,trå
drōbijaną,"To trouble, disturb",drēfan,dreve,trüben,droeven,bedröva
dritą,"shit, excrement",drit,dirt,Driss,-,dret
trūwāną,to trust,trūwian,trow,trauen,trouwen,tro
draumijaną,to dream,drīeman,dream,träumen,dromen,drömma
dampaz,vapor,damp,damp,Dampf,damp,damm
þreskwaþluz,threshold,þersċweald,threshold,Drischaufel,-,tröskel
hnuppōną,To tear off,hnoppian,-,-,noppen,noppa
hrūtaną,to snore,hrūtan,rout,-,ruiten,-
hrūtaną,"to fall, fly, move quickly",hrūtan,rout,-,ruiten,-
faginōną,"to gladden, rejoice",fæġenian,fain,-,-,fägna
firrijaną,"to remove, take away, deprive",fierran,far,-,verren,-
azanōną,"to harvest, reap, labor",earnian,earn,ernten,-,-
uzētô,"manger, feed",*oreta,ort,-,oort,-
blindōną,to blind,*blindian,blind,-,blinden,-
brandaraidō,"grate, brandreth",brandrād,brandreth,Brandreite,-,-
brūdihlaupą,wedding,brȳdhlop,-,Brautlauf,bruiloft,bröllop
dagalangaz,"daylong, lasting a day",dæġlang,daylong,tagelang,-,-
dauþudagaz,deathday,dēaþdæġ,deathday,Todestag,-,dödsdag
ētą,the act of eating,ǣt,eat,Aas,aat,-
fehuhūsą,"stable, stall",feohhūs,-,Viehhaus,-,fähus
flōdijaną,to flood,*flēdan,-,fluten,vloeden,flöda
giftijaną,"to gift, give (something)",giftan,gift,-,giften,gifta
gramaz,furious,gram,chagrin,gram,gram,gramse
helpōlausaz,helpless,*helplēas,helpless,hilflos,-,hjälplös
hauhiþō,height,hīehþu,heighth,-,hoogte,höjd
handulausaz,handless,*handlēas,handless,handlos,-,-
hanhasinwō,"Achilles tendon, hamstring",hōhsinu,huxen,Hachse,haas,-
hūsōną,to house,hūsian,house,hausen,huizen,-
hwōstô,cough,hwōsta,whoost,Husten,hoest,hosta
warpą,warp,wearp,warp,Warf,-,varp
nēhwist,"superlative degree of *nēhw (“near”): nearest, closest",nīehsta,next,nächster,naast,näst
diupį̄,depth,dīepe,deep,Tiefe,-,-
witalausaz,witless,witlēas,witless,witzlos,-,vettlös
hnajjaną,to neigh,hnǣġan,neigh,-,neien,-
warzaz,callus,wearr,war,-,war,-
sleupaną,"to creep, slink, sneak, slip (move quietly or stealthily)",slūpan,-,schliefen,sluipen,-
slaihǭ,sloe,slā,sloe,Schlehe,slee,slån
ēþrǭ,vein,ǣdre,-,Ader,ader,åder
slipraz,smooth,slipor,slipper,schlüpfrig,-,-
skamāną,to be ashamed,sċamian,shame,schämen,schamen,-
bunkô,"bump, lump",*bunca,bunch,Bunge,bonk,bunke
magrijaną,"to make meager, to make lose weight",mægerian,-,magern,mageren,-
mahtilausaz,"powerless, mightless",meahtleās,mightless,machtlos,machteloos,maktlös
wītiją,punishment,wīte,wite,Weize,wijte,vite
skildijaną,to provide a shield,sċildan,shield,schilden,-,-
skipamann-,sailor,sċipmann,shipman,Schiffmann,-,-
gramô,"anger, wrath",grama,grame,Gram,-,-
gramjaną,"to cause to be angry, provoke, irritate, anger",gremian,-,grämen,-,gräma
erþōfastuz,fixed to the ground,eorþfæst,-,erdfest,aardvast,-
erþōhnuts,earthnut,eorþhnutu,earthnut,Erdnuss,aardnoot,jordnöt
gasehwaną,to see completely,ġesēon,-,gesehen,gezien,-
missalīkaz,"diverse, various",mislīċ,-,misslich,misselijk,-
manalausaz,"without a man, without a husband",manleās,manless,mannlos,manloos,-
mannōną,"to man, to occupy (with men)",mannian,man,-,mannen,bemanna
